Symbol,Shortname,Longname
MOS,Mosaic Company (The),The Mosaic Company
PARA,Paramount Global,Paramount Global
MHK,"Mohawk Industries, Inc.","Mohawk Industries, Inc."
CE,Celanese Corporation,Celanese Corporation
HII,"Huntington Ingalls Industries, ","Huntington Ingalls Industries, Inc."
CZR,"Caesars Entertainment, Inc.","Caesars Entertainment, Inc."
BWA,BorgWarner Inc.,BorgWarner Inc.
QRVO,"Qorvo, Inc.","Qorvo, Inc."
FMC,FMC Corporation,FMC Corporation
AMTM,"Amentum Holdings, Inc.","Amentum Holdings, Inc."
